id_x;Tanggal_date;tgl;nmr_spop;pl;kode_unit;unit;supplier;nmr_rek;rekening; jumlah ; 21101_uu 
1;04/10/2022;4;347;2;1;Unit  Percetakan;Toko Pembantu;11501;Sediaan-Barang Jadi;" 1.960.000,00 ";" 1.960.000,00 "
2;06/10/2022;6;350;2;1;Unit  Percetakan;CV Fahana Citra;51101;BPP-Percetakan;" 2.065.000,00 ";" 2.065.000,00 "
3;04/10/2022;4;352;2;1;Unit  Percetakan;Percetakan Chandra;51101;BPP-Percetakan;" 9.850.000,00 ";" 9.850.000,00 "
4;05/10/2022;5;353;2;1;Unit  Percetakan;Parangtritis Graphic;51101;BPP-Percetakan;" 1.030.000,00 ";" 1.030.000,00 "
5;10/10/2022;10;355;2;1;Unit  Percetakan;PT Setia Harapan Komputer;51101;BPP-Percetakan;" 1.600.000,00 ";" 1.600.000,00 "
6;12/10/2022;12;361;2;1;Unit  Percetakan;Bagus Teknik (Grafikita);51101;BPP-Percetakan;" 17.600.000,00 ";" 17.600.000,00 "
7;17/10/2022;17;365;2;1;Unit  Percetakan;Toko Pembantu;11501;Sediaan-Barang Jadi;" 2.145.000,00 ";" 2.145.000,00 "
8;27/10/2022;27;372;2;1;Unit  Percetakan;Colorlink (Grafikita);51101;BPP-Percetakan;" 5.020.400,00 ";" 5.020.400,00 "
9;03/10/2022;3;346;4;2;unit Perdagangan Umum;Toko Mangun;11501;Sediaan-Barang Jadi;" 270.000,00 ";" 270.000,00 "
10;04/10/2022;4;348;4;2;unit Perdagangan Umum;CKA;11501;Sediaan-Barang Jadi;" 95.000,00 ";" 95.000,00 "
11;04/10/2022;;;4;2;unit Perdagangan Umum;UD Naga Mas;11501;Sediaan-Barang Jadi;" 503.500,00 ";" 503.500,00 "
12;04/10/2022;;;4;2;unit Perdagangan Umum;Yobel;11501;Sediaan-Barang Jadi;" 42.816,00 ";" 42.816,00 "
13;05/10/2022;5;349;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 9.145.200,00 ";" 9.145.200,00 "
14;06/10/2022;6;351;4;2;unit Perdagangan Umum;Mitra Abadi;11501;Sediaan-Barang Jadi;" 496.933,00 ";" 496.933,00 "
15;10/10/2022;10;354;4;2;unit Perdagangan Umum;PT Setiawan Sedjati;51116;BPP-ATK;" 865.800,00 ";" 865.800,00 "
16;11/10/2022;11;356;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 368.720,00 ";" 368.720,00 "
17;11/10/2022;11;357;4;2;unit Perdagangan Umum;Sinar Bhakti;11501;Sediaan-Barang Jadi;" 1.241.800,00 ";" 1.241.800,00 "
18;11/10/2022;11;358;4;2;unit Perdagangan Umum;CV Perdana Mas;11501;Sediaan-Barang Jadi;" 507.425,00 ";" 507.425,00 "
19;12/10/2022;12;359;4;2;unit Perdagangan Umum;PT Godrej Distribusi;11501;Sediaan-Barang Jadi;" 188.700,00 ";" 188.700,00 "
20;14/10/2022;11;360;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 563.000,00 ";" 563.000,00 "
21;12/10/2022;12;362;4;2;unit Perdagangan Umum;Mitra Abadi;11501;Sediaan-Barang Jadi;" 6.000.000,00 ";" 6.000.000,00 "
22;14/10/2022;14;363;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 627.800,00 ";" 627.800,00 "
23;14/10/2022;14;364;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 2.547.700,00 ";" 2.547.700,00 "
24;18/10/2022;18;366;4;2;unit Perdagangan Umum;PT Setiawan Sedjati;11501;Sediaan-Barang Jadi;" 2.175.600,00 ";" 2.175.600,00 "
25;20/10/2022;20;367;4;2;unit Perdagangan Umum;Alifia;11501;Sediaan-Barang Jadi;" 27.975,00 ";" 27.975,00 "
26;20/10/2022;;;4;2;unit Perdagangan Umum;Purnama;11501;Sediaan-Barang Jadi;" 59.850,00 ";" 59.850,00 "
27;20/10/2022;;;4;2;unit Perdagangan Umum;Aida;11501;Sediaan-Barang Jadi;" 20.000,00 ";" 20.000,00 "
28;20/10/2022;20;368;4;2;unit Perdagangan Umum;Mitra Abadi;11501;Sediaan-Barang Jadi;" 411.667,00 ";" 411.667,00 "
29;20/10/2022;20;369;4;2;unit Perdagangan Umum;Alifia;11501;Sediaan-Barang Jadi;" 392.400,00 ";" 392.400,00 "
30;24/10/2022;21;370;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 2.521.250,00 ";" 2.521.250,00 "
31;25/10/2022;25;371;4;2;unit Perdagangan Umum;CV Perdana Mas;11501;Sediaan-Barang Jadi;" 513.313,00 ";" 513.313,00 "
32;27/10/2022;27;373;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 4.768.000,00 ";" 4.768.000,00 "
33;27/10/2022;27;374;4;2;unit Perdagangan Umum;Aida;11501;Sediaan-Barang Jadi;" 49.000,00 ";" 49.000,00 "
34;28/10/2022;28;375;4;2;unit Perdagangan Umum;Mitra Abadi;11501;Sediaan-Barang Jadi;" 8.300.000,00 ";" 8.300.000,00 "
35;31/10/2022;31;376;4;2;unit Perdagangan Umum;Toko Pembantu;11501;Sediaan-Barang Jadi;" 1.050.000,00 ";" 1.050.000,00 "
